,age,workclass,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,class
6026,42.0,Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,45.0,United-States,<=50K
18789,60.0,Private,Some-college,10,Widowed,Sales,Not-in-family,White,Female,0.0,0.0,15.0,United-States,<=50K
28228,59.0,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
11764,43.0,Federal-gov,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
16706,20.0,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Male,0.0,0.0,20.0,United-States,<=50K
8150,60.0,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0.0,0.0,40.0,United-States,<=50K
4438,40.0,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
32177,49.0,Private,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=50K
17354,23.0,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,12.0,United-States,<=50K
16233,63.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
20540,58.0,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,35.0,United-States,<=50K
12961,33.0,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
12209,32.0,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,60.0,United-States,>50K
29358,36.0,Private,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
23915,39.0,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Wife,White,Female,0.0,0.0,30.0,United-States,>50K
15841,49.0,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,>50K
14690,40.0,Private,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0.0,0.0,30.0,United-States,<=50K
9398,24.0,Private,11th,7,Divorced,Sales,Unmarried,White,Female,0.0,0.0,35.0,United-States,<=50K
10325,27.0,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
9586,30.0,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
26007,39.0,Private,Some-college,10,Never-married,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Male,0.0,0.0,40.0,Philippines,<=50K
9840,26.0,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,52.0,United-States,<=50K
5314,49.0,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
4965,61.0,Private,Masters,14,Widowed,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,>50K
13665,30.0,Private,Bachelors,13,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,0.0,0.0,40.0,Philippines,<=50K
25894,69.0,Private,Assoc-acdm,12,Widowed,Prof-specialty,Not-in-family,White,Female,0.0,0.0,6.0,Italy,<=50K
15805,48.0,Private,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
5722,26.0,Private,HS-grad,9,Never-married,Sales,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,<=50K
5427,54.0,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
16088,39.0,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
31519,42.0,Local-gov,10th,6,Never-married,Farming-fishing,Unmarried,White,Male,0.0,0.0,35.0,United-States,<=50K
11899,46.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,0.0,0.0,60.0,United-States,>50K
1743,68.0,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,20051.0,0.0,55.0,United-States,>50K
32109,20.0,Private,Some-college,10,Never-married,Sales,Unmarried,Black,Female,0.0,0.0,30.0,United-States,<=50K
3890,63.0,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,2580.0,0.0,20.0,United-States,<=50K
28373,42.0,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,35.0,United-States,<=50K
20718,44.0,Federal-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,0.0,0.0,40.0,United-States,<=50K
30258,38.0,Federal-gov,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,38.0,United-States,<=50K
32023,32.0,Private,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0.0,0.0,40.0,United-States,<=50K
28142,32.0,Private,9th,5,Separated,Machine-op-inspct,Unmarried,White,Female,0.0,0.0,40.0,Columbia,<=50K
13780,29.0,Private,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=50K
11194,23.0,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0.0,0.0,50.0,United-States,<=50K
5003,35.0,Self-emp-not-inc,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
26977,28.0,State-gov,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
31011,20.0,Private,HS-grad,9,Never-married,Protective-serv,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
18972,27.0,Self-emp-not-inc,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
23529,29.0,Private,Assoc-voc,11,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,45.0,Columbia,<=50K
32372,36.0,Private,11th,7,Never-married,Craft-repair,Not-in-family,Black,Female,0.0,0.0,40.0,United-States,<=50K
25092,38.0,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,55.0,United-States,>50K
31623,35.0,State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
586,31.0,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,1902.0,35.0,United-States,>50K
13132,31.0,Private,9th,5,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
429,51.0,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,1977.0,60.0,United-States,>50K
10670,35.0,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
14845,45.0,Local-gov,Bachelors,13,Divorced,Protective-serv,Not-in-family,White,Male,0.0,0.0,40.0,United-States,>50K
8485,42.0,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
31760,28.0,State-gov,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,90.0,United-States,<=50K
23117,32.0,Private,12th,8,Never-married,Prof-specialty,Own-child,Black,Female,0.0,0.0,40.0,United-States,<=50K
17687,20.0,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
25577,23.0,Private,Bachelors,13,Never-married,Farming-fishing,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
22882,54.0,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
28732,46.0,Private,HS-grad,9,Divorced,Craft-repair,Other-relative,White,Male,0.0,0.0,40.0,United-States,<=50K
24852,37.0,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
32448,25.0,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
24207,24.0,Private,HS-grad,9,Never-married,Sales,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
24329,50.0,Federal-gov,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,0.0,0.0,12.0,United-States,<=50K
6080,34.0,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,Puerto-Rico,<=50K
27164,31.0,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
26659,63.0,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,25.0,United-States,<=50K
22517,40.0,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,24.0,United-States,>50K
9024,31.0,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,48.0,United-States,<=50K
15205,30.0,Self-emp-not-inc,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
1094,22.0,Private,Some-college,10,Never-married,Prof-specialty,Own-child,Black,Male,0.0,1721.0,20.0,United-States,<=50K
9040,29.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
23113,50.0,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,43.0,United-States,>50K
7141,39.0,Private,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
22760,35.0,Private,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,<=50K
12082,43.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
9678,63.0,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,30.0,United-States,<=50K
18363,43.0,Federal-gov,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
22538,34.0,Private,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
20251,47.0,Local-gov,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Black,Female,0.0,0.0,40.0,United-States,<=50K
1040,33.0,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,1740.0,25.0,United-States,<=50K
3605,27.0,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Male,3325.0,0.0,40.0,United-States,<=50K
32254,28.0,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,30.0,United-States,<=50K
29015,23.0,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
1300,34.0,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,1590.0,50.0,United-States,<=50K
12471,47.0,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,45.0,United-States,<=50K
31158,43.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
31971,21.0,Private,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,45.0,United-States,<=50K
14094,50.0,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0.0,0.0,40.0,United-States,<=50K
8916,31.0,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,Black,Male,0.0,0.0,60.0,United-States,>50K
26960,39.0,State-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,>50K
2549,46.0,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7688.0,0.0,40.0,United-States,>50K
11369,38.0,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
14504,49.0,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
