,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,class
9984,80.0,72.0,3.0,43.0,18.0,0.0,0.0,100.0,-7.0,7,8,18.0,1.0,22.0,0.0,1.0,1.0,42.0,-8.0,3.0,1.0,0.0,57.0,Bad
159,62.0,27.0,19.0,22.0,3.0,2.0,2.0,100.0,-7.0,6,8,3.0,0.0,100.0,2.0,4.0,4.0,-8.0,-8.0,-8.0,1.0,-8.0,100.0,Bad
886,63.0,327.0,13.0,166.0,14.0,1.0,1.0,94.0,5.0,0,2,16.0,0.0,13.0,5.0,0.0,0.0,0.0,-8.0,1.0,1.0,0.0,27.0,Bad
9925,83.0,479.0,11.0,114.0,30.0,0.0,0.0,100.0,-7.0,7,8,30.0,1.0,13.0,0.0,1.0,0.0,2.0,-8.0,2.0,1.0,1.0,21.0,Good
6642,85.0,176.0,3.0,71.0,29.0,0.0,0.0,100.0,-7.0,6,7,32.0,3.0,34.0,-7.0,4.0,4.0,1.0,-8.0,2.0,1.0,0.0,50.0,Good
7604,61.0,51.0,2.0,25.0,16.0,0.0,0.0,88.0,21.0,5,6,17.0,2.0,18.0,-7.0,1.0,1.0,43.0,49.0,6.0,2.0,1.0,69.0,Bad
4835,63.0,260.0,8.0,91.0,28.0,1.0,1.0,80.0,3.0,4,3,31.0,1.0,27.0,12.0,0.0,0.0,28.0,89.0,7.0,2.0,0.0,53.0,Good
4363,61.0,179.0,5.0,63.0,33.0,0.0,0.0,97.0,10.0,4,6,35.0,2.0,31.0,0.0,2.0,2.0,59.0,-8.0,5.0,1.0,2.0,55.0,Bad
4123,61.0,192.0,1.0,54.0,13.0,1.0,1.0,87.0,14.0,6,3,15.0,4.0,53.0,0.0,0.0,0.0,54.0,-8.0,3.0,1.0,1.0,80.0,Bad
7532,85.0,253.0,2.0,82.0,15.0,0.0,0.0,94.0,69.0,6,6,18.0,4.0,33.0,-7.0,1.0,1.0,6.0,101.0,1.0,2.0,0.0,38.0,Bad
6402,85.0,175.0,42.0,109.0,21.0,0.0,0.0,100.0,-7.0,7,8,23.0,0.0,35.0,0.0,0.0,0.0,19.0,-8.0,2.0,1.0,0.0,75.0,Good
3894,85.0,224.0,10.0,101.0,16.0,0.0,0.0,100.0,-7.0,7,8,5.0,2.0,25.0,13.0,0.0,0.0,1.0,72.0,2.0,2.0,0.0,44.0,Good
8994,56.0,447.0,3.0,145.0,14.0,2.0,2.0,78.0,1.0,4,2,18.0,1.0,22.0,0.0,1.0,1.0,32.0,-8.0,3.0,-8.0,1.0,43.0,Good
9696,86.0,252.0,1.0,78.0,7.0,0.0,0.0,100.0,-7.0,7,8,10.0,3.0,30.0,4.0,3.0,3.0,29.0,-8.0,1.0,2.0,0.0,50.0,Good
4260,72.0,196.0,9.0,96.0,25.0,1.0,1.0,100.0,-7.0,7,8,26.0,1.0,20.0,0.0,5.0,5.0,3.0,-8.0,2.0,1.0,1.0,31.0,Bad
6185,74.0,89.0,5.0,49.0,23.0,0.0,0.0,96.0,42.0,6,6,23.0,2.0,43.0,5.0,0.0,0.0,13.0,83.0,3.0,4.0,1.0,64.0,Good
5229,78.0,200.0,10.0,74.0,31.0,0.0,0.0,97.0,4.0,4,6,35.0,1.0,29.0,0.0,0.0,0.0,0.0,61.0,2.0,3.0,0.0,38.0,Good
1080,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,Bad
5969,73.0,160.0,11.0,79.0,10.0,1.0,1.0,91.0,16.0,6,4,11.0,1.0,55.0,-7.0,1.0,1.0,16.0,-8.0,1.0,1.0,1.0,67.0,Bad
2568,70.0,-8.0,4.0,124.0,25.0,2.0,2.0,96.0,76.0,6,6,0.0,2.0,32.0,-7.0,3.0,3.0,19.0,-8.0,5.0,1.0,1.0,54.0,Bad
8600,75.0,258.0,1.0,67.0,30.0,1.0,1.0,97.0,31.0,6,4,33.0,3.0,36.0,1.0,4.0,4.0,10.0,-8.0,1.0,1.0,0.0,18.0,Good
966,81.0,189.0,11.0,96.0,21.0,1.0,1.0,96.0,77.0,6,3,24.0,1.0,8.0,21.0,0.0,0.0,0.0,-8.0,0.0,1.0,0.0,33.0,Good
1310,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,Bad
7055,84.0,338.0,7.0,82.0,30.0,0.0,0.0,100.0,-7.0,7,8,34.0,4.0,35.0,0.0,2.0,2.0,6.0,17.0,6.0,3.0,0.0,60.0,Good
5801,63.0,153.0,3.0,48.0,17.0,0.0,0.0,88.0,4.0,4,6,17.0,1.0,47.0,0.0,3.0,3.0,44.0,94.0,3.0,3.0,0.0,50.0,Bad
3474,86.0,-8.0,16.0,45.0,8.0,0.0,0.0,100.0,-7.0,7,8,0.0,0.0,25.0,-8.0,0.0,0.0,4.0,-8.0,2.0,1.0,-8.0,60.0,Good
8465,69.0,-8.0,17.0,37.0,4.0,0.0,0.0,100.0,-7.0,7,8,4.0,0.0,75.0,-7.0,1.0,1.0,118.0,-8.0,1.0,2.0,1.0,100.0,Bad
4869,76.0,204.0,6.0,79.0,15.0,0.0,0.0,87.0,9.0,4,6,15.0,2.0,40.0,18.0,0.0,0.0,0.0,53.0,3.0,3.0,0.0,60.0,Good
5322,70.0,45.0,3.0,27.0,3.0,0.0,0.0,100.0,-7.0,7,8,4.0,1.0,67.0,0.0,1.0,1.0,55.0,45.0,1.0,1.0,0.0,100.0,Bad
7865,72.0,103.0,2.0,55.0,3.0,1.0,1.0,80.0,61.0,6,4,5.0,2.0,60.0,0.0,3.0,3.0,56.0,-8.0,1.0,-8.0,0.0,50.0,Bad
9309,82.0,260.0,21.0,104.0,19.0,0.0,0.0,100.0,-7.0,7,8,21.0,0.0,43.0,4.0,2.0,2.0,4.0,-8.0,1.0,-8.0,0.0,17.0,Good
9906,69.0,153.0,10.0,62.0,8.0,0.0,0.0,75.0,11.0,4,6,8.0,1.0,50.0,0.0,0.0,0.0,51.0,83.0,2.0,2.0,1.0,80.0,Bad
5169,60.0,155.0,15.0,53.0,16.0,1.0,1.0,81.0,5.0,4,6,16.0,0.0,44.0,5.0,0.0,0.0,79.0,-8.0,5.0,1.0,2.0,86.0,Bad
9620,71.0,176.0,6.0,74.0,29.0,0.0,0.0,100.0,-7.0,7,8,29.0,3.0,34.0,0.0,1.0,1.0,54.0,36.0,5.0,2.0,3.0,70.0,Good
7662,87.0,115.0,11.0,59.0,9.0,0.0,0.0,100.0,-7.0,7,8,9.0,2.0,78.0,-7.0,1.0,1.0,0.0,-8.0,0.0,2.0,0.0,50.0,Bad
9825,88.0,530.0,5.0,182.0,17.0,0.0,0.0,100.0,-7.0,7,8,17.0,2.0,24.0,0.0,0.0,0.0,3.0,81.0,5.0,2.0,0.0,64.0,Good
5409,58.0,168.0,6.0,119.0,30.0,0.0,0.0,81.0,4.0,4,6,31.0,1.0,42.0,-7.0,0.0,0.0,84.0,68.0,5.0,5.0,4.0,73.0,Bad
6850,92.0,428.0,6.0,156.0,10.0,0.0,0.0,100.0,-7.0,7,8,11.0,1.0,9.0,-8.0,0.0,0.0,0.0,-8.0,1.0,1.0,0.0,40.0,Good
6812,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,Good
4588,57.0,323.0,5.0,92.0,13.0,2.0,1.0,67.0,4.0,4,3,15.0,1.0,27.0,-7.0,2.0,2.0,61.0,61.0,2.0,3.0,1.0,63.0,Bad
5041,68.0,223.0,11.0,86.0,20.0,0.0,0.0,91.0,41.0,6,6,22.0,1.0,50.0,1.0,3.0,3.0,83.0,37.0,3.0,8.0,2.0,79.0,Bad
7105,65.0,56.0,8.0,31.0,14.0,0.0,0.0,100.0,-7.0,7,8,15.0,1.0,27.0,1.0,6.0,6.0,87.0,62.0,6.0,2.0,3.0,100.0,Bad
5205,64.0,177.0,8.0,88.0,23.0,0.0,0.0,83.0,10.0,4,6,24.0,3.0,42.0,0.0,1.0,1.0,28.0,44.0,4.0,3.0,2.0,70.0,Good
