,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0,greater 200,12.0,existing paid,radio/tv,3399.0,no known savings,greater 7 years,2.0,male single,none,3.0,car,37.0,none,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,good
1,greater 200,42.0,no credits/all paid,business,6289.0,less 100,less 1 year,2.0,male div/sep,none,1.0,life insurance,33.0,none,own,2.0,skilled,1.0,none,yes,good
2,between 0 and 200,36.0,critical/other existing credit,used car,5800.0,less 100,between 1 and 4 years,3.0,male single,none,4.0,car,34.0,none,own,2.0,skilled,1.0,yes,yes,good
3,no checking,6.000000000000002,existing paid,repairs,660.0,between 500 and 1000,between 4 and 7 years,2.0,male mar/wid,none,4.0,real estate,23.0,none,rent,1.0,unskilled resident,1.0,none,yes,good
4,no checking,18.0,existing paid,radio/tv,1473.0,less 100,less 1 year,3.0,male mar/wid,none,4.0,real estate,39.0,none,own,1.0,skilled,1.0,yes,yes,good
5,less 0,24.0,existing paid,new car,1371.0,no known savings,between 1 and 4 years,4.0,female div/dep/mar,none,4.0,real estate,25.0,none,rent,1.0,skilled,1.0,none,yes,bad
6,no checking,6.000000000000002,existing paid,radio/tv,2108.0,less 100,between 4 and 7 years,2.0,male mar/wid,none,2.0,real estate,29.0,none,rent,1.0,skilled,1.0,none,yes,good
7,no checking,10.0,existing paid,new car,1309.0,no known savings,between 1 and 4 years,4.0,male single,guarantor,4.0,life insurance,27.0,none,own,1.0,unskilled resident,1.0,none,yes,bad
8,less 0,9.0,existing paid,new car,654.0,less 100,between 1 and 4 years,4.0,male single,none,3.0,car,28.0,none,own,1.0,unskilled resident,1.0,none,yes,bad
9,no checking,12.0,existing paid,radio/tv,2073.0,between 100 and 500,between 1 and 4 years,4.0,female div/dep/mar,co applicant,2.0,real estate,28.0,none,own,1.0,skilled,1.0,none,yes,good
10,less 0,12.0,existing paid,radio/tv,701.0,less 100,between 1 and 4 years,4.0,male mar/wid,none,2.0,real estate,40.0,none,own,1.0,unskilled resident,1.0,none,yes,good
11,no checking,14.0,delayed previously,new car,802.0,less 100,between 1 and 4 years,4.0,male single,none,2.0,car,27.0,none,own,2.0,unskilled resident,1.0,none,yes,good
12,less 0,48.0,existing paid,new car,7763.0,less 100,greater 7 years,4.0,male single,none,4.0,no known property,42.0,bank,for free,1.0,high qualif/self emp/mgmt,1.0,none,yes,bad
13,less 0,6.000000000000002,critical/other existing credit,radio/tv,338.0,between 500 and 1000,greater 7 years,4.0,male single,none,4.0,car,52.0,none,own,2.0,skilled,1.0,none,yes,good
14,between 0 and 200,6.000000000000002,delayed previously,furniture/equipment,1050.0,less 100,unemployed,4.0,male single,none,1.0,life insurance,35.0,stores,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
15,between 0 and 200,20.0,existing paid,used car,6468.0,no known savings,unemployed,1.0,male div/sep,none,4.0,real estate,60.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
16,between 0 and 200,48.0,existing paid,furniture/equipment,9960.0,less 100,less 1 year,1.0,female div/dep/mar,none,2.0,car,26.0,none,own,1.0,skilled,1.0,yes,yes,bad
17,between 0 and 200,13.0,existing paid,radio/tv,2101.0,less 100,less 1 year,2.0,female div/dep/mar,guarantor,4.0,life insurance,23.0,none,own,1.0,unskilled resident,1.0,none,yes,good
18,no checking,18.0,critical/other existing credit,new car,1530.0,less 100,between 1 and 4 years,3.0,male single,none,2.0,life insurance,32.0,bank,own,2.0,skilled,1.0,none,yes,bad
19,between 0 and 200,15.0,existing paid,radio/tv,1443.9999999999998,no known savings,less 1 year,4.0,male single,none,1.0,life insurance,23.0,none,own,1.0,skilled,1.0,none,yes,good
20,no checking,21.0,existing paid,used car,5248.0,no known savings,between 1 and 4 years,1.0,male single,none,3.0,car,26.0,none,own,1.0,skilled,1.0,none,yes,good
21,between 0 and 200,13.0,critical/other existing credit,radio/tv,882.0,less 100,less 1 year,4.0,male single,guarantor,4.0,real estate,23.0,none,own,2.0,skilled,1.0,none,yes,good
22,less 0,18.0,existing paid,radio/tv,1936.0,no known savings,between 4 and 7 years,2.0,male mar/wid,none,4.0,car,23.0,none,rent,2.0,unskilled resident,1.0,none,yes,good
23,no checking,12.0,existing paid,radio/tv,2171.0,less 100,less 1 year,2.0,female div/dep/mar,none,2.0,car,29.0,bank,own,1.0,skilled,1.0,none,yes,good
24,less 0,24.0,existing paid,furniture/equipment,3345.0,less 100,greater 7 years,4.0,male single,none,2.0,life insurance,39.0,none,rent,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
25,between 0 and 200,24.0,delayed previously,business,4712.0,no known savings,between 1 and 4 years,4.0,male single,none,2.0,life insurance,37.0,bank,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
26,less 0,18.0,existing paid,furniture/equipment,2462.0,less 100,between 1 and 4 years,2.0,male single,none,2.0,car,22.0,none,own,1.0,skilled,1.0,none,yes,bad
27,no checking,36.0,critical/other existing credit,furniture/equipment,7127.0,less 100,less 1 year,2.0,female div/dep/mar,none,4.0,life insurance,23.0,none,rent,2.0,skilled,1.0,yes,yes,bad
28,between 0 and 200,27.0,delayed previously,used car,5965.0,less 100,greater 7 years,1.0,male single,none,2.0,car,30.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
