checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
less 0,6,critical/other existing credit,radio/tv,1169,no known savings,greater 7 years,4,male single,none,4,real estate,67,none,own,2,skilled,1,yes,yes,good
between 0 and 200,48,existing paid,radio/tv,5951,less 100,between 1 and 4 years,2,female div/dep/mar,none,2,real estate,22,none,own,1,skilled,1,none,yes,bad
no checking,12,critical/other existing credit,education,2096,less 100,between 4 and 7 years,2,male single,none,3,real estate,49,none,own,1,unskilled resident,2,none,yes,good
less 0,42,existing paid,furniture/equipment,7882,less 100,between 4 and 7 years,2,male single,guarantor,4,life insurance,45,none,for free,1,skilled,2,none,yes,good
less 0,24,delayed previously,new car,4870,less 100,between 1 and 4 years,3,male single,none,4,no known property,53,none,for free,2,skilled,2,none,yes,bad
no checking,36,existing paid,education,9055,no known savings,between 1 and 4 years,2,male single,none,4,no known property,35,none,for free,1,unskilled resident,2,yes,yes,good
no checking,24,existing paid,furniture/equipment,2835,between 500 and 1000,greater 7 years,3,male single,none,4,life insurance,53,none,own,1,skilled,1,none,yes,good
between 0 and 200,36,existing paid,used car,6948,less 100,between 1 and 4 years,2,male single,none,2,car,35,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,12,existing paid,radio/tv,3059,greater 1000,between 4 and 7 years,2,male div/sep,none,4,real estate,61,none,own,1,unskilled resident,1,none,yes,good
between 0 and 200,30,critical/other existing credit,new car,5234,less 100,unemployed,4,male mar/wid,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,none,yes,bad
between 0 and 200,12,existing paid,new car,1295,less 100,less 1 year,3,female div/dep/mar,none,1,car,25,none,rent,1,skilled,1,none,yes,bad
less 0,48,existing paid,business,4308,less 100,less 1 year,3,female div/dep/mar,none,4,life insurance,24,none,rent,1,skilled,1,none,yes,bad
between 0 and 200,12,existing paid,radio/tv,1567,less 100,between 1 and 4 years,1,female div/dep/mar,none,1,car,22,none,own,1,skilled,1,yes,yes,good
less 0,24,critical/other existing credit,new car,1199,less 100,greater 7 years,4,male single,none,4,car,60,none,own,2,unskilled resident,1,none,yes,bad
less 0,15,existing paid,new car,1403,less 100,between 1 and 4 years,2,female div/dep/mar,none,4,car,28,none,rent,1,skilled,1,none,yes,good
less 0,24,existing paid,radio/tv,1282,between 100 and 500,between 1 and 4 years,4,female div/dep/mar,none,2,car,32,none,own,1,unskilled resident,1,none,yes,bad
no checking,24,critical/other existing credit,radio/tv,2424,no known savings,greater 7 years,4,male single,none,4,life insurance,53,none,own,2,skilled,1,none,yes,good
less 0,30,no credits/all paid,business,8072,no known savings,less 1 year,2,male single,none,3,car,25,bank,own,3,skilled,1,none,yes,good
between 0 and 200,24,existing paid,used car,12579,less 100,greater 7 years,4,female div/dep/mar,none,2,no known property,44,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,24,existing paid,radio/tv,3430,between 500 and 1000,greater 7 years,3,male single,none,2,car,31,none,own,1,skilled,2,yes,yes,good
no checking,9,critical/other existing credit,new car,2134,less 100,between 1 and 4 years,4,male single,none,4,car,48,none,own,3,skilled,1,yes,yes,good
less 0,6,existing paid,radio/tv,2647,between 500 and 1000,between 1 and 4 years,2,male single,none,3,real estate,44,none,rent,1,skilled,2,none,yes,good
less 0,10,critical/other existing credit,new car,2241,less 100,less 1 year,1,male single,none,3,real estate,48,none,rent,2,unskilled resident,2,none,no,good
between 0 and 200,12,critical/other existing credit,used car,1804,between 100 and 500,less 1 year,3,male single,none,4,life insurance,44,none,own,1,skilled,1,none,yes,good
no checking,10,critical/other existing credit,furniture/equipment,2069,no known savings,between 1 and 4 years,2,male mar/wid,none,1,car,26,none,own,2,skilled,1,none,no,good
less 0,6,existing paid,furniture/equipment,1374,less 100,between 1 and 4 years,1,male single,none,2,real estate,36,bank,own,1,unskilled resident,1,yes,yes,good
no checking,6,no credits/all paid,radio/tv,426,less 100,greater 7 years,4,male mar/wid,none,4,car,39,none,own,1,unskilled resident,1,none,yes,good
greater 200,12,all paid,radio/tv,409,greater 1000,between 1 and 4 years,3,female div/dep/mar,none,3,real estate,42,none,rent,2,skilled,1,none,yes,good
between 0 and 200,7,existing paid,radio/tv,2415,less 100,between 1 and 4 years,3,male single,guarantor,2,real estate,34,none,own,1,skilled,1,none,yes,good
less 0,60,delayed previously,business,6836,less 100,greater 7 years,3,male single,none,4,no known property,63,none,own,2,skilled,1,yes,yes,bad
between 0 and 200,18,existing paid,business,1913,greater 1000,less 1 year,3,male mar/wid,none,3,real estate,36,bank,own,1,skilled,1,yes,yes,good
less 0,24,existing paid,furniture/equipment,4020,less 100,between 1 and 4 years,2,male single,none,2,car,27,stores,own,1,skilled,1,none,yes,good
between 0 and 200,18,existing paid,new car,5866,between 100 and 500,between 1 and 4 years,2,male single,none,2,car,30,none,own,2,skilled,1,yes,yes,good
no checking,12,critical/other existing credit,business,1264,no known savings,greater 7 years,4,male single,none,4,no known property,57,none,rent,1,unskilled resident,1,none,yes,good
greater 200,12,existing paid,furniture/equipment,1474,less 100,less 1 year,4,female div/dep/mar,none,1,life insurance,33,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good
between 0 and 200,45,critical/other existing credit,radio/tv,4746,less 100,less 1 year,4,male single,none,2,life insurance,25,none,own,2,unskilled resident,1,none,yes,bad
no checking,48,critical/other existing credit,education,6110,less 100,between 1 and 4 years,1,male single,none,3,no known property,31,bank,for free,1,skilled,1,yes,yes,good
greater 200,18,existing paid,radio/tv,2100,less 100,between 1 and 4 years,4,male single,co applicant,2,real estate,37,stores,own,1,skilled,1,none,yes,bad
greater 200,10,existing paid,domestic appliance,1225,less 100,between 1 and 4 years,2,male single,none,2,car,37,none,own,1,skilled,1,yes,yes,good
between 0 and 200,9,existing paid,radio/tv,458,less 100,between 1 and 4 years,4,male single,none,3,real estate,24,none,own,1,skilled,1,none,yes,good
no checking,30,existing paid,radio/tv,2333,between 500 and 1000,greater 7 years,4,male single,none,2,car,30,bank,own,1,high qualif/self emp/mgmt,1,none,yes,good
between 0 and 200,12,existing paid,radio/tv,1158,between 500 and 1000,between 1 and 4 years,3,male div/sep,none,1,car,26,none,own,1,skilled,1,yes,yes,good
between 0 and 200,18,delayed previously,repairs,6204,less 100,between 1 and 4 years,2,male single,none,4,real estate,44,none,own,1,unskilled resident,2,yes,yes,good
less 0,30,critical/other existing credit,used car,6187,between 100 and 500,between 4 and 7 years,1,male mar/wid,none,4,car,24,none,rent,2,skilled,1,none,yes,good
less 0,48,critical/other existing credit,used car,6143,less 100,greater 7 years,4,female div/dep/mar,none,4,no known property,58,stores,for free,2,unskilled resident,1,none,yes,bad
no checking,11,critical/other existing credit,new car,1393,less 100,less 1 year,4,female div/dep/mar,none,4,car,35,none,own,2,high qualif/self emp/mgmt,1,none,yes,good
no checking,36,existing paid,radio/tv,2299,between 500 and 1000,greater 7 years,4,male single,none,4,car,39,none,own,1,skilled,1,none,yes,good
less 0,6,existing paid,used car,1352,between 500 and 1000,unemployed,1,female div/dep/mar,none,2,life insurance,23,none,rent,1,unemp/unskilled non res,1,yes,yes,good
no checking,11,critical/other existing credit,new car,7228,less 100,between 1 and 4 years,1,male single,none,4,life insurance,39,none,own,2,unskilled resident,1,none,yes,good
no checking,12,existing paid,radio/tv,2073,between 100 and 500,between 1 and 4 years,4,female div/dep/mar,co applicant,2,real estate,28,none,own,1,skilled,1,none,yes,good
between 0 and 200,24,delayed previously,furniture/equipment,2333,no known savings,less 1 year,4,male single,none,2,life insurance,29,bank,own,1,unskilled resident,1,none,yes,good
between 0 and 200,27,delayed previously,used car,5965,less 100,greater 7 years,1,male single,none,2,car,30,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
no checking,12,existing paid,radio/tv,1262,less 100,between 1 and 4 years,3,male single,none,2,car,25,none,own,1,skilled,1,none,yes,good
no checking,18,existing paid,used car,3378,no known savings,between 1 and 4 years,2,male single,none,1,life insurance,31,none,own,1,skilled,1,yes,yes,good
between 0 and 200,36,delayed previously,new car,2225,less 100,greater 7 years,4,male single,none,4,no known property,57,bank,for free,2,skilled,1,yes,yes,bad
no checking,6,all paid,new car,783,no known savings,between 1 and 4 years,1,male single,guarantor,2,real estate,26,stores,own,1,unskilled resident,2,none,yes,good
between 0 and 200,12,existing paid,radio/tv,6468,no known savings,unemployed,2,male single,none,1,no known property,52,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,36,critical/other existing credit,radio/tv,9566,less 100,between 1 and 4 years,2,female div/dep/mar,none,2,car,31,stores,own,2,skilled,1,none,yes,good
greater 200,18,existing paid,new car,1961,less 100,greater 7 years,3,female div/dep/mar,none,2,car,23,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
less 0,36,critical/other existing credit,furniture/equipment,6229,less 100,less 1 year,4,female div/dep/mar,co applicant,4,no known property,23,none,rent,2,unskilled resident,1,yes,yes,bad
between 0 and 200,9,existing paid,business,1391,less 100,between 1 and 4 years,2,male mar/wid,none,1,real estate,27,bank,own,1,skilled,1,yes,yes,good
between 0 and 200,15,critical/other existing credit,radio/tv,1537,no known savings,greater 7 years,4,male single,guarantor,4,real estate,50,none,own,2,skilled,1,yes,yes,good
